addr	how	frozen	evidence
004a6e20	table	CSimpleAlphaAnim_GetChange	binding "GetChange" in SimpleAlphaAnimMethods ~ table 00ac1aa0
004a6ea0	annotated	CSimpleAnimGroup_Play	tag in src/ui/simple/CSimpleAnimScript.cpp
004a6ee0	table	CSimpleAnimGroup_Pause	binding "Pause" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a6f20	table	CSimpleAnimGroup_Stop	binding "Stop" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a6f60	table	CSimpleAnimGroup_Finish	binding "Finish" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a6fa0	table	CSimpleAnimGroup_GetProgress	binding "GetProgress" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a6ff0	table	CSimpleAnimGroup_IsDone	binding "IsDone" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a7040	table	CSimpleAnimGroup_IsPaused	binding "IsPaused" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a7090	table	CSimpleAnimGroup_IsPendingFinish	binding "IsPendingFinish" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a70e0	table	CSimpleAnimGroup_GetDuration	binding "GetDuration" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a7130	annotated	CSimpleAnimGroup_SetLooping	tag in src/ui/simple/CSimpleAnimScript.cpp
004a71f0	annotated	CSimpleAnimGroup_GetLooping	tag in src/ui/simple/CSimpleAnimScript.cpp
004a7240	annotated	CSimpleAnimGroup_GetLoopState	tag in src/ui/simple/CSimpleAnimScript.cpp
004a7290	table	CSimpleAnimGroup_GetMaxOrder	binding "GetMaxOrder" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a72f0	table	CSimpleAnimGroup_SetInitialOffset	binding "SetInitialOffset" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a73e0	table	CSimpleAnimGroup_GetInitialOffset	binding "GetInitialOffset" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a7480	table	CSimpleAnimGroup_HasScript	binding "HasScript" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a7540	table	CSimpleAnimGroup_GetScript	binding "GetScript" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a7650	table	CSimpleAnimGroup_SetScript	binding "SetScript" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a7780	table	CSimpleAnimGroup_HookScript	binding "HookScript" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a79d0	table	CSimplePathAnim_GetControlPoints	binding "GetControlPoints" in SimplePathAnimMethods ~ table 00ac1a74
004a7aa0	table	CSimpleAnimGroup_IsPlaying	binding "IsPlaying" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a7b00	table	CSimpleAnimGroup_GetAnimations	binding "GetAnimations" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a7bf0	annotated	CSimplePathAnim_CreateControlPoint	tag in src/ui/simple/CSimpleAnimTypesScript.cpp
004a7e00	annotated	CSimpleAnimGroup_CreateAnimation	tag in src/ui/simple/CSimpleAnimScript.cpp
004a81b0	string	FrameScript_GetObjectThis	unique "Attempt to find 'this' in non-framescript object"
004a8240	table	CSimpleAnimGroup_GetObjectType	binding "GetObjectType" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a8290	table	CSimpleAnimGroup_IsObjectType	binding "IsObjectType" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a8340	table	CSimpleAnimGroup_GetName	binding "GetName" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a83a0	table	CSimpleAnimGroup_GetParent	binding "GetParent" in SimpleAnimGroupMethods ~ table 00ac1ab8
004a8480	annotated	ScreenshotSetFormat	tag in src/gx/Device.cpp
004a84a0	annotated	ScreenshotSetQuality	tag in src/gx/Device.cpp
004a8570	string	ScreenshotRequest	unique "Screenshots"
004a8bb0	callorder	ScrnLayerCreate	same slot between linked calls in 0040a990=Begin
004b51c0	override	OsPathFindExtensionWithDot	
004b5210	callgraph	FindSubstitution	only unmatched callee of 004b8be0=CreateBlpTexture
004b6550	annotated	AsyncTextureWait	tag in src/gx/Texture.cpp
004b6610	annotated	TextureGetDimensions	tag in src/gx/Texture.cpp
004b6760	override	TextureAllocGxTex	
004b6920	string	FillInSolidTexture	unique "SolidTexture"
004b6c50	annotated	TextureIncreasePriority	tag in src/gx/Texture.cpp
004b6cb0	override	TextureGetGxTex	
004b6fa0	override	TextureCacheGetTexture	
004b7020	override	TextureCacheGetTexture	
004b7bd0	string	PumpBlpTextureAsync	unique "BLP Texture failure: "%s" decompression failed. "
004b81d0	string	CBLPFile::Open	score 0.50 shared filename
004b8770	override	CTexture::CTexture	
004b8910	override	CreateBlpSync	
004b8a50	override	CreateBlpAsync	
004b8be0	override	CreateBlpTexture	
004b8c80	override	TextureCreate	
004b9200	callgraph	GxDevApi	only unmatched callee of 004eff10=CCharacterComponent::CreateBaseTexture
004b9480	override	TextureCacheNewTexture	
004b94e0	annotated	TextureCacheNewTexture	tag in src/gx/Texture.cpp
004b9550	override	TextureCreateSolid	
004b95b0	override	CreateTgaTexture	
004b9760	override	TextureCreate	
004ba060	annotated	AsyncFileReadWait	tag in src/async/AsyncFileRead.cpp
004ba170	callorder	AsyncFileReadAllocObject	same slot between linked calls in 0083da10=CM2Shared::LoadSequence
004bc410	callorder	TSHashTable<CONSOLECOMMAND,HASHKEY_STRI>::Ptr	same slot between linked calls in 00768900=ConsoleCommandParse
004bd960	sticky	CSimpleFontString::GetFontName	held from the previous run, where it was sticky
004bd9d0	callgraph	TextBlockGetFontPtr	only unmatched callee of 00763680=GenerateNodeString
004bdbf0	annotated	TextBlockSetStringPos	tag in src/gx/font/TextBlock.cpp
004bdc50	annotated	TextBlockGetStringPos	tag in src/gx/font/TextBlock.cpp
004be9c0	string	TextBlockGenerateFont	unique "%s-%d-%f"
004bf540	annotated	operator!=	tag in lib/typhoon/tempest/vector/C3Vector.cpp
004c1360	annotated	DataMgrSetFloat	tag in lib/common/common/DataMgr.cpp
004c1510	callgraph	CRndSeed::CRndSeed	only unmatched callee of 0097e150=CM2ParticleEmitter::CM2ParticleEmitter
004c1680	annotated	M2ParticleRandomUnitVector	tag in src/model/CM2ParticleEmitter.cpp
004c1930	annotated	C44Matrix::Determinant	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
004c1b30	annotated	C44Matrix::Translate	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
004c1b90	annotated	C44Matrix::Scale	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
004c1de0	annotated	C44Matrix::C44Matrix	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
004c1f00	annotated	operator*	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
004c21b0	annotated	operator*	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
004c2300	annotated	TransformPointInPlace	tag in lib/typhoon/tempest/vector/C3Vector.cpp
004c2370	annotated	C44Matrix::operator*=	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
004c23d0	annotated	C44Matrix::Transpose	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
004c2f90	annotated	C44Matrix::Inverse	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
004c2fc0	annotated	C44Matrix::AffineInverse	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
004c33c0	annotated	C44Matrix::Rotate	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
004c3460	callgraph	CGMinimapFrame::GetPingOffset	only unmatched callee of 0057efe0=CGMinimapFrame_GetPingPosition
004c3600	annotated	C3Vector::Normalize	tag in lib/typhoon/tempest/vector/C3Vector.cpp
004c4df0	annotated	C2Vector::operator=	tag in lib/typhoon/tempest/vector/C2Vector.cpp
004c51b0	annotated	C33Matrix::C33Matrix	tag in lib/typhoon/tempest/matrix/C33Matrix.cpp
004c5230	annotated	C33Matrix::operator*=	tag in lib/typhoon/tempest/matrix/C33Matrix.cpp
004c5820	annotated	C33Matrix::RotationAroundAxis	tag in lib/typhoon/tempest/matrix/C33Matrix.cpp
004c5a60	annotated	SI2::GetNumInputDrivers	tag in src/sound/SI2.cpp
004c5a80	annotated	SI2::GetInputDriverName	tag in src/sound/SI2.cpp
004c5ab0	annotated	SI2::GetNumOutputDrivers	tag in src/sound/SI2.cpp
004c5af0	annotated	SI2::GetOutputDriverName	tag in src/sound/SI2.cpp
004c5be0	callorder	SI2::IsPlaying	same slot between linked calls in 00985fb0=SI2::StartGlueAmbience, 009861c0=SI2::StartGlueMusic
004c6390	callgraph	SI2::StopOrFadeOut	only unmatched callee of 00985f70=SI2::StopGlueAmbience
004c6a40	string	SI2::PlaySoundKit	unique "<UNKNOWN ERROR>"
004c8fc0	string	SI2::PlayUISound	unique "VoiceChatOff"
004ccaa0	callorder	SI2::GetSoundKitID	same slot between linked calls in 009858b0=Script_PlaySound
004cfd20	sticky	WowClientDB<SpellRec>::GetRecord	held from the previous run, where it was sticky
004d0bc0	cvar	EnableReverbHandler	callback of CVar::Register("Sound_EnableReverb") on both sides
004d0cb0	cvar	VoiceChatInputDriverHandler	callback of CVar::Register("Sound_VoiceChatInputDriverIndex") on both sides
004d0dd0	cvar	OutputDriverHandler	callback of CVar::Register("Sound_OutputDriverIndex") on both sides
004d0e60	cvar	MasterVolume_CVarCallback	callback of CVar::Register("Sound_MasterVolume") on both sides
004d0e80	override	SFXVolume_CVarCallback	
004d0eb0	annotated	MusicVolume_CVarCallback	tag in src/sound/CVarHandlers.cpp
004d0ef0	cvar	AmbienceVolume_CVarCallback	callback of CVar::Register("Sound_AmbienceVolume") on both sides
004d1050	string	SI2::RegisterCVars	unique "Enables Hardware"
004d13e0	override	EnableAllSound_CVarCallback	
004d14e0	override	EnableSFX_CVarCallback	
004d1530	override	EnableAmbience_CVarCallback	
004d1590	override	EnableMusic_CVarCallback	
004d1600	string	SI2::RegisterUserCVars	unique "1048576"
004d3100	override	ObjectFree	
004d3650	callorder	ObjectAllocAddHeap	same slot between linked calls in 0079e7c0=CMap::MapMemInitialize, 0081c6e0=M2Initialize
004d3790	override	ClntObjMgrGetActivePlayer	
004d41c0	annotated	SkipSetOfObjects	tag in src/object/client/MessageHandlers.cpp
004d4ac0	string	ClntObjMgrInitializeShared	score 0.50 shared ObjUsage
004d4db0	override	ClntObjMgrObjectPtr	
004d5550	override	CallMirrorHandlers	
004d63b0	annotated	PostInitObject	tag in src/object/client/MessageHandlers.cpp
004d6da0	annotated	PostMovementUpdate	tag in src/object/client/MessageHandlers.cpp
004d6e80	annotated	UpdateObject	tag in src/object/client/MessageHandlers.cpp
004d7050	string	ObjectUpdateFirstPass	unique "Unknown client update packet type (%d)!"
004d7100	annotated	ObjectUpdateSecondPass	tag in src/object/client/MessageHandlers.cpp
004d80c0	string	CGlueMgr::DisplayLoginStatus	unique "CONNECTION_HELP"
004d8580	override	WowClientDB<GameTipsRec>::GetRecordByIndex	
004d8860	string	CGlueMgr::HandleDisplaySizeChanged	score 0.50 shared GlueParent
004d8a30	string	CGlueMgr::LoginServerLogin	unique "LOGIN_ENTER_NAME"
004d8ba0	annotated	CGlueMgr::Sub4D8BA0	tag in src/glue/CGlueMgr.cpp
004d8c60	annotated	CGlueMgr::CreateCharacter	tag in src/glue/CGlueMgr.cpp
004d8cc0	annotated	CGlueMgr::DeleteCharacter	tag in src/glue/CGlueMgr.cpp
004d9500	handler	CGlueMgr::OnKickReasonMsg	SetMessageHandler(SMSG_KICK_REASON) on both sides
004d95c0	string	CGlueMgr::GetCharacterList	unique "CHAR_LIST_RETRIEVING"
004d9610	callgraph	CGlueMgr::GetRealmList	only unmatched callee of 004de430=Script_RequestRealmList
004d98a0	callgraph	CCharacterSelection::GetCharacterDisplay	only unmatched callee of 004e3620=Script_GetSelectBackgroundModel
004d98d0	string	CGlueMgr::StatusDialogClick	score 0.53 shared login; patchdownload
004d9bd0	string	CGlueMgr::EnterWorld	unique "CHAR_RENAME_DESCRIPTION"
004da5f0	string	CGlueMgr::Resume	unique "Interface\GlueXML\GlueXML.toc"
004dab40	string	CGlueMgr::PollAccountLogin	unique "AUTH_DB_BUSY_URL"
004db9f0	string	CGlueMgr::Initialize	unique "ModelFFX"
004dbc70	string	GlueScriptEventsInitialize	unique "ACCOUNT_MESSAGES_AVAILABLE"
004dbec0	table	Script_SetSavedAccountName	binding "SetSavedAccountName" in s_ScriptFunctions ~ table 00ac3e00
004dbf10	table	Script_GetUsesToken	binding "GetUsesToken" in s_ScriptFunctions ~ table 00ac3e00
004dbf30	table	Script_SetUsesToken	binding "SetUsesToken" in s_ScriptFunctions ~ table 00ac3e00
004dbf80	table	Script_SetSavedAccountList	binding "SetSavedAccountList" in s_ScriptFunctions ~ table 00ac3e00
004dbfd0	annotated	Script_GetLocale	tag in src/glue/GlueScript.cpp
004dc000	table	Script_SetCurrentScreen	binding "SetCurrentScreen" in s_ScriptFunctions ~ table 00ac3e00
004dc070	table	Script_PlayGlueMusic	binding "PlayGlueMusic" in s_ScriptFunctions ~ table 00ac3e00
004dc0c0	annotated	Script_PlayGlueAmbience	tag in src/glue/GlueScript.cpp
004dc150	table	Script_PlayCreditsMusic	binding "PlayCreditsMusic" in s_ScriptFunctions ~ table 00ac3e00
004dc1c0	table	Script_LaunchURL	binding "LaunchURL" in s_ScriptFunctions ~ table 00ac3e00
004dc260	table	Script_DefaultServerLogin	binding "DefaultServerLogin" in s_ScriptFunctions ~ table 00ac3e00
004dc2d0	table	Script_PINEntered	binding "PINEntered" in s_ScriptFunctions ~ table 00ac3e00
004dc3a0	table	Script_MatrixEntered	binding "MatrixEntered" in s_ScriptFunctions ~ table 00ac3e00
004dc440	table	Script_GetMatrixCoordinates	binding "GetMatrixCoordinates" in s_ScriptFunctions ~ table 00ac3e00
004dc4d0	table	Script_TokenEntered	binding "TokenEntered" in s_ScriptFunctions ~ table 00ac3e00
004dc720	table	Script_LaunchAddOnURL	binding "LaunchAddOnURL" in s_ScriptFunctions ~ table 00ac3e00
004dc7c0	table	Script_GetAddOnEnableState	binding "GetAddOnEnableState" in s_ScriptFunctions ~ table 00ac3e00
004dc960	table	Script_EnableAllAddOns	binding "EnableAllAddOns" in s_ScriptFunctions ~ table 00ac3e00
004dca70	table	Script_DisableAllAddOns	binding "DisableAllAddOns" in s_ScriptFunctions ~ table 00ac3e00
004dcae0	table	Script_IsAddonVersionCheckEnabled	binding "IsAddonVersionCheckEnabled" in s_ScriptFunctions ~ table 00ac3e00
004dcb20	table	Script_SetAddonVersionCheck	binding "SetAddonVersionCheck" in s_ScriptFunctions ~ table 00ac3e00
004dcbf0	table	Script_GetClientExpansionLevel	binding "GetClientExpansionLevel" in s_ScriptFunctions ~ table 00ac3e00
004dccc0	table	Script_SurveyNotificationDone	binding "SurveyNotificationDone" in s_ScriptFunctions ~ table 00ac3e00
004dccf0	table	Script_ScanDLLStart	binding "ScanDLLStart" in s_ScriptFunctions ~ table 00ac3e00
004dcd60	table	Script_GetCreditsText	binding "GetCreditsText" in s_ScriptFunctions ~ table 00ac3e00
004dce00	table	Script_IsScanDLLFinished	binding "IsScanDLLFinished" in s_ScriptFunctions ~ table 00ac3e00
004dce40	table	Script_IsWindowsClient	binding "IsWindowsClient" in s_ScriptFunctions ~ table 00ac80b0
004dcf30	table	Script_ShowChangedOptionWarnings	binding "ShowChangedOptionWarnings" in s_ScriptFunctions ~ table 00ac3e00
004dd130	table	Script_GetNumGameAccounts	binding "GetNumGameAccounts" in s_ScriptFunctions ~ table 00ac3e00
004dd1c0	table	Script_GetGameAccountInfo	binding "GetGameAccountInfo" in s_ScriptFunctions ~ table 00ac3e00
004dd2b0	table	Script_SetGameAccount	binding "SetGameAccount" in s_ScriptFunctions ~ table 00ac3e00
004dd380	table	Script_StopAllSFX	binding "StopAllSFX" in s_ScriptFunctions ~ table 00ac3e00
004dd3b0	table	Script_SetClearConfigData	binding "SetClearConfigData" in s_ScriptFunctions ~ table 00ac3e00
004dd400	annotated	Script_RestartGx	tag in src/glue/GlueScript.cpp
004dd450	annotated	Script_IsConsoleActive	tag in src/glue/GlueScript.cpp
004dd490	annotated	Script_RunScript	tag in src/glue/GlueScript.cpp
004dd4d0	table	Script_IsTrialAccount	binding "IsTrialAccount" in s_ScriptFunctions ~ table 00ac3e00
004dd540	table	Script_IsSystemSupported	binding "IsSystemSupported" in s_ScriptFunctions ~ table 00ac3e00
004dd5d0	table	Script_GetSavedAccountName	binding "GetSavedAccountName" in s_ScriptFunctions ~ table 00ac3e00
004dd5f0	table	Script_GetSavedAccountList	binding "GetSavedAccountList" in s_ScriptFunctions ~ table 00ac3e00
004dd610	annotated	Script_GetMovieResolution	tag in src/glue/GlueScript.cpp
004dd680	table	Script_ShowTOSNotice	binding "ShowTOSNotice" in s_ScriptFunctions ~ table 00ac3e00
004dd6c0	table	Script_TOSAccepted	binding "TOSAccepted" in s_ScriptFunctions ~ table 00ac3e00
004dd700	table	Script_ShowEULANotice	binding "ShowEULANotice" in s_ScriptFunctions ~ table 00ac3e00
004dd740	table	Script_EULAAccepted	binding "EULAAccepted" in s_ScriptFunctions ~ table 00ac3e00
004dd780	table	Script_ShowTerminationWithoutNoticeNotice	binding "ShowTerminationWithoutNoticeNotice" in s_ScriptFunctions ~ table 00ac3e00
004dd7c0	table	Script_TerminationWithoutNoticeAccepted	binding "TerminationWithoutNoticeAccepted" in s_ScriptFunctions ~ table 00ac3e00
004dd800	table	Script_ShowScanningNotice	binding "ShowScanningNotice" in s_ScriptFunctions ~ table 00ac3e00
004dd840	table	Script_ScanningAccepted	binding "ScanningAccepted" in s_ScriptFunctions ~ table 00ac3e00
004dd880	table	Script_ShowContestNotice	binding "ShowContestNotice" in s_ScriptFunctions ~ table 00ac3e00
004dd8c0	table	Script_ContestAccepted	binding "ContestAccepted" in s_ScriptFunctions ~ table 00ac3e00
004dd900	table	Script_GetServerName	binding "GetServerName" in s_ScriptFunctions ~ table 00ac3e00
004dda50	table	Script_IsConnectedToServer	binding "IsConnectedToServer" in s_ScriptFunctions ~ table 00ac3e00
004dda90	table	Script_PatchDownloadProgress	binding "PatchDownloadProgress" in s_ScriptFunctions ~ table 00ac3e00
004ddbd0	table	Script_GetBillingTimeRemaining	binding "GetBillingTimeRemaining" in s_ScriptFunctions ~ table 00ac3e00
004ddc20	table	Script_GetExpansionLevel	binding "GetExpansionLevel" in s_ScriptFunctions ~ table 00ac80b0
004ddc60	table	Script_GetBillingPlan	binding "GetBillingPlan" in s_ScriptFunctions ~ table 00ac3e00
004de1f0	table	Script_GetChangedOptionWarnings	binding "GetChangedOptionWarnings" in s_ScriptFunctions ~ table 00ac3e00
004de250	table	Script_SetRealmSplitState	binding "SetRealmSplitState" in s_ScriptFunctions ~ table 00ac3e00
004de2e0	table	Script_RequestRealmSplitInfo	binding "RequestRealmSplitInfo" in s_ScriptFunctions ~ table 00ac3e00
004de390	table	Script_ReadyForAccountDataTimes	binding "ReadyForAccountDataTimes" in s_ScriptFunctions ~ table 00ac3e00
004de430	table	Script_RequestRealmList	binding "RequestRealmList" in s_ScriptFunctions ~ table 00ac4190
004de450	table	Script_RealmListUpdateRate	binding "RealmListUpdateRate" in s_ScriptFunctions ~ table 00ac4190
004de910	annotated	CRealmList::Sub4DE910	tag in src/glue/CRealmList.cpp
004de960	callgraph	CRealmList::SetPreferredInfo	only unmatched callee of 004df3a0=Script_SetPreferredInfo
004deaf0	table	Script_GetNumRealms	binding "GetNumRealms" in s_ScriptFunctions ~ table 00ac4190
004debc0	table	Script_GetRealmInfo	binding "GetRealmInfo" in s_ScriptFunctions ~ table 00ac4190
004defb0	table	Script_ChangeRealm	binding "ChangeRealm" in s_ScriptFunctions ~ table 00ac4190
004df110	table	Script_GetRealmCategories	binding "GetRealmCategories" in s_ScriptFunctions ~ table 00ac4190
004df1c0	table	Script_IsInvalidTournamentRealmCategory	binding "IsInvalidTournamentRealmCategory" in s_ScriptFunctions ~ table 00ac4190
004df270	table	Script_IsTournamentRealmCategory	binding "IsTournamentRealmCategory" in s_ScriptFunctions ~ table 00ac4190
004df2f0	table	Script_IsInvalidLocale	binding "IsInvalidLocale" in s_ScriptFunctions ~ table 00ac4190
004df3a0	table	Script_SetPreferredInfo	binding "SetPreferredInfo" in s_ScriptFunctions ~ table 00ac4190
004df420	table	Script_SortRealms	binding "SortRealms" in s_ScriptFunctions ~ table 00ac4190
004df4f0	table	Script_GetSelectedCategory	binding "GetSelectedCategory" in s_ScriptFunctions ~ table 00ac4190
004df580	callorder	CRealmList::Initialize	same slot between linked calls in 004db9f0=CGlueMgr::Initialize
004dfa70	annotated	Script_IsRaceClassRestricted	tag in src/glue/CCharacterCreationScript.cpp
004dfca0	table	Script_GetRandomName	binding "GetRandomName" in s_ScriptFunctions ~ table 00ac4228
004dffe0	callgraph	CCharacterCreation::IsRaceClassValid	only unmatched callee of 004e0d00=Script_IsRaceClassValid
004e0040	callgraph	CCharacterCreation::SetCharCustomizeModel	only unmatched callee of 004e0620=Script_SetCharCustomizeBackground
004e0160	callgraph	CCharacterCreation::SetFacing	only unmatched callee of 004e0c10=Script_SetCharacterCreateFacing
004e01f0	callgraph	CCharacterCreation::CycleCharCustomization	only unmatched callee of 004e0b50=Script_CycleCharCustomization
004e0380	annotated	CCharacterCreation::CreateCharacter	tag in src/glue/CCharacterCreation.cpp
004e05b0	table	Script_SetCharCustomizeFrame	binding "SetCharCustomizeFrame" in s_ScriptFunctions ~ table 00ac4228
004e0620	table	Script_SetCharCustomizeBackground	binding "SetCharCustomizeBackground" in s_ScriptFunctions ~ table 00ac4228
004e0670	table	Script_GetNameForRace	binding "GetNameForRace" in s_ScriptFunctions ~ table 00ac4228
004e06f0	table	Script_GetFactionForRace	binding "GetFactionForRace" in s_ScriptFunctions ~ table 00ac4228
004e0830	table	Script_GetAvailableClasses	binding "GetAvailableClasses" in s_ScriptFunctions ~ table 00ac4228
004e0900	table	Script_GetHairCustomization	binding "GetHairCustomization" in s_ScriptFunctions ~ table 00ac4228
004e0970	table	Script_GetFacialHairCustomization	binding "GetFacialHairCustomization" in s_ScriptFunctions ~ table 00ac4228
004e09f0	table	Script_GetSelectedRace	binding "GetSelectedRace" in s_ScriptFunctions ~ table 00ac4228
004e0a30	table	Script_GetSelectedSex	binding "GetSelectedSex" in s_ScriptFunctions ~ table 00ac4228
004e0a60	table	Script_GetSelectedClass	binding "GetSelectedClass" in s_ScriptFunctions ~ table 00ac4228
004e0b50	table	Script_CycleCharCustomization	binding "CycleCharCustomization" in s_ScriptFunctions ~ table 00ac4228
004e0be0	table	Script_GetCharacterCreateFacing	binding "GetCharacterCreateFacing" in s_ScriptFunctions ~ table 00ac4228
004e0c10	table	Script_SetCharacterCreateFacing	binding "SetCharacterCreateFacing" in s_ScriptFunctions ~ table 00ac4228
004e0c60	annotated	Script_CreateCharacter	tag in src/glue/CCharacterCreationScript.cpp
004e0ca0	table	Script_PaidChange_GetCurrentRaceIndex	binding "PaidChange_GetCurrentRaceIndex" in s_ScriptFunctions ~ table 00ac4228
004e0cd0	table	Script_PaidChange_GetCurrentClassIndex	binding "PaidChange_GetCurrentClassIndex" in s_ScriptFunctions ~ table 00ac4228
004e0d00	table	Script_IsRaceClassValid	binding "IsRaceClassValid" in s_ScriptFunctions ~ table 00ac4228
004e0dd0	table	Script_GetCreateBackgroundModel	binding "GetCreateBackgroundModel" in s_ScriptFunctions ~ table 00ac4228
004e1540	callgraph	CCharacterCreation::SetSelectedSex	only unmatched callee of 004e1a60=Script_SetSelectedSex
004e1880	table	Script_GetAvailableRaces	binding "GetAvailableRaces" in s_ScriptFunctions ~ table 00ac4228
004e19a0	annotated	Script_GetClassesForRace	tag in src/glue/CCharacterCreationScript.cpp
004e1a60	table	Script_SetSelectedSex	binding "SetSelectedSex" in s_ScriptFunctions ~ table 00ac4228
004e1ac0	table	Script_SetSelectedClass	binding "SetSelectedClass" in s_ScriptFunctions ~ table 00ac4228
004e1b70	table	Script_PaidChange_GetName	binding "PaidChange_GetName" in s_ScriptFunctions ~ table 00ac4228
004e20b0	callgraph	CCharacterCreation::SetSelectedRace	only unmatched callee of 004e2470=Script_SetSelectedRace
004e2470	table	Script_SetSelectedRace	binding "SetSelectedRace" in s_ScriptFunctions ~ table 00ac4228
004e2500	table	Script_CustomizeExistingCharacter	binding "CustomizeExistingCharacter" in s_ScriptFunctions ~ table 00ac4228
004e2790	annotated	CM2Model::GetPosition	tag in src/model/CM2Model.cpp
004e2e70	callgraph	CCharacterSelection::SetFacing	only unmatched callee of 004e3030=Script_SetCharacterSelectFacing
004e2f60	table	Script_SetCharSelectModelFrame	binding "SetCharSelectModelFrame" in s_ScriptFunctions ~ table 00ac4378
004e3000	table	Script_GetCharacterSelectFacing	binding "GetCharacterSelectFacing" in s_ScriptFunctions ~ table 00ac4378
004e3030	table	Script_SetCharacterSelectFacing	binding "SetCharacterSelectFacing" in s_ScriptFunctions ~ table 00ac4378
004e3140	table	Script_GetNumCharacters	binding "GetNumCharacters" in s_ScriptFunctions ~ table 00ac4378
004e3170	table	Script_GetCharacterInfo	binding "GetCharacterInfo" in s_ScriptFunctions ~ table 00ac4378
004e33a0	annotated	Script_DeleteCharacter	tag in src/glue/CCharacterSelectionScript.cpp
004e3410	table	Script_RenameCharacter	binding "RenameCharacter" in s_ScriptFunctions ~ table 00ac4378
004e3530	table	Script_DeclineCharacter	binding "DeclineCharacter" in s_ScriptFunctions ~ table 00ac4378
004e3620	table	Script_GetSelectBackgroundModel	binding "GetSelectBackgroundModel" in s_ScriptFunctions ~ table 00ac4378
004e3c10	callgraph	CCharacterSelection::SetBackgroundModel	only unmatched callee of 004e44e0=Script_SetCharSelectBackground
004e3cd0	callgraph	CCharacterSelection::ShowCharacter	only unmatched callee of 004e4580=Script_SelectCharacter
004e44e0	table	Script_SetCharSelectBackground	binding "SetCharSelectBackground" in s_ScriptFunctions ~ table 00ac4378
004e4580	table	Script_SelectCharacter	binding "SelectCharacter" in s_ScriptFunctions ~ table 00ac4378
004e63a0	callorder	CNameGenerator::Generate	same slot between linked calls in 004dfca0=Script_GetRandomName
004e6ae0	callorder	CGlueLoading::StartLoad	same slot between linked calls in 004e3cd0=CCharacterSelection::ShowCharacter
004e6be0	annotated	CSimpleModelFFX_ResetLights	tag in src/ui/simple/CSimpleModelFFXScript.cpp
004e6c60	annotated	CSimpleModelFFX_AddLight	tag in src/ui/simple/CSimpleModelFFXScript.cpp
004e6d60	annotated	CSimpleModelFFX_AddCharacterLight	tag in src/ui/simple/CSimpleModelFFXScript.cpp
004e6e60	annotated	CSimpleModelFFX_AddPetLight	tag in src/ui/simple/CSimpleModelFFXScript.cpp
004e6fb0	string	CCharacterComponent::CreateTexture	unique "Item\TextureComponents\%s\%s_%s.blp"
004e81c0	annotated	TabardBackgroundFileName	tag in src/ui/game/CGTabardModelFrameScript.cpp
004e8210	annotated	TabardEmblemFileName	tag in src/ui/game/CGTabardModelFrameScript.cpp
004eacd0	string	CCharacterComponent::AddHandItem	score 0.83 shared Item\ObjectComponents\Shield\; Item\ObjectComponents\Weapon\
004eff10	string	CCharacterComponent::CreateBaseTexture	unique "CharacterBaseSkin"
004f1a20	annotated	CCharacterComponent::Initialize	tag in src/component/CCharacterComponent.cpp
004f3110	string	TextureCacheAllocEntry	unique "TCACHEENTRY"
004f3dd0	annotated	BuildComponentArray	tag in src/component/Util.cpp
004f41b0	annotated	CountFacialFeatures	tag in src/component/Util.cpp
004f4320	annotated	operator*	tag in lib/typhoon/tempest/matrix/C44Matrix.cpp
004f54d0	annotated	UnitResistanceBreakdown	tag in src/ui/game/ScriptEvents.cpp
004f5720	callorder	MirrorInitialize	same slot between linked calls in 004d4ac0=ClntObjMgrInitializeShared
004f5960	callgraph	CGObject_C::GetFacing	only unmatched callee of 0060a490=Script_GetPlayerFacing
