addr	how	frozen	evidence
005bb130	table	Script_Stub_CalendarEventGetStatusOptions	binding "CalendarEventGetStatusOptions" in s_stubs ~ table 00ad0030
005bb210	table	Script_Stub_CalendarEventSetTitle	binding "CalendarEventSetTitle" in s_stubs ~ table 00ad0030
005bb280	table	Script_Stub_CalendarEventSetDescription	binding "CalendarEventSetDescription" in s_stubs ~ table 00ad0030
005bb2f0	table	Script_Stub_CalendarEventSetType	binding "CalendarEventSetType" in s_stubs ~ table 00ad0030
005bb380	table	Script_Stub_CalendarEventSetRepeatOption	binding "CalendarEventSetRepeatOption" in s_stubs ~ table 00ad0030
005bb410	table	Script_Stub_CalendarEventSetSize	binding "CalendarEventSetSize" in s_stubs ~ table 00ad0030
005bb4a0	table	Script_Stub_CalendarEventSetDate	binding "CalendarEventSetDate" in s_stubs ~ table 00ad0030
005bb5a0	table	Script_Stub_CalendarEventSetTime	binding "CalendarEventSetTime" in s_stubs ~ table 00ad0030
005bb650	table	Script_Stub_CalendarEventSetLockoutDate	binding "CalendarEventSetLockoutDate" in s_stubs ~ table 00ad0030
005bb750	table	Script_Stub_CalendarEventSetLockoutTime	binding "CalendarEventSetLockoutTime" in s_stubs ~ table 00ad0030
005bb800	table	Script_Stub_CalendarEventSetTextureID	binding "CalendarEventSetTextureID" in s_stubs ~ table 00ad0030
005bb970	table	Script_Stub_CalendarEventGetTextures	binding "CalendarEventGetTextures" in s_stubs ~ table 00ad0030
005bbb00	table	Script_Stub_CalendarEventGetSelectedInvite	binding "CalendarEventGetSelectedInvite" in s_stubs ~ table 00ad0030
005bcc00	table	Script_Stub_CalendarSetMonth	binding "CalendarSetMonth" in s_stubs ~ table 00ad0030
005bccb0	table	Script_Stub_CalendarMassInviteGuild	binding "CalendarMassInviteGuild" in s_stubs ~ table 00ad0030
005bcda0	table	Script_Stub_CalendarDefaultGuildFilter	binding "CalendarDefaultGuildFilter" in s_stubs ~ table 00ad0030
005bce60	table	Script_Stub_CalendarMassInviteArenaTeam	binding "CalendarMassInviteArenaTeam" in s_stubs ~ table 00ad0030
005bcf00	table	Script_Stub_CalendarEventInvite	binding "CalendarEventInvite" in s_stubs ~ table 00ad0030
005bcf30	table	Script_Stub_CalendarContextInviteTentative	binding "CalendarContextInviteTentative" in s_stubs ~ table 00ad0030
005bd040	table	Script_Stub_CalendarContextInviteRemove	binding "CalendarContextInviteRemove" in s_stubs ~ table 00ad0030
005bd130	table	Script_Stub_CalendarContextEventSignUp	binding "CalendarContextEventSignUp" in s_stubs ~ table 00ad0030
005bd220	table	Script_Stub_CalendarContextEventRemove	binding "CalendarContextEventRemove" in s_stubs ~ table 00ad0030
005bd340	table	Script_Stub_CalendarContextEventCopy	binding "CalendarContextEventCopy" in s_stubs ~ table 00ad0030
005bd460	table	Script_Stub_CalendarContextEventPaste	binding "CalendarContextEventPaste" in s_stubs ~ table 00ad0030
005bd4f0	table	Script_Stub_CalendarContextEventCanComplain	binding "CalendarContextEventCanComplain" in s_stubs ~ table 00ad0030
005bd600	table	Script_Stub_CalendarContextEventComplain	binding "CalendarContextEventComplain" in s_stubs ~ table 00ad0030
005bd8a0	table	Script_Stub_CalendarGetEventInfo	binding "CalendarGetEventInfo" in s_stubs ~ table 00ad0030
005bdd90	table	Script_Stub_CalendarEventHasPendingInvite	binding "CalendarEventHasPendingInvite" in s_stubs ~ table 00ad0030
005c1070	table	Script_Stub_CalendarGetDayEvent	binding "CalendarGetDayEvent" in s_stubs ~ table 00ad0030
005c1480	table	Script_Stub_CalendarGetHolidayInfo	binding "CalendarGetHolidayInfo" in s_stubs ~ table 00ad0030
005c43b0	table	Script_Stub_CalendarSetAbsMonth	binding "CalendarSetAbsMonth" in s_stubs ~ table 00ad0030
005cb330	order	Script_Stub_GuildControlAddRank	binding table name Script_Stub_GuildControlAddRank, in definition order in src/ui/game/miscscriptstubs.cpp
005cb3f0	order	Script_Stub_GuildControlDelRank	binding table name Script_Stub_GuildControlDelRank, in definition order in src/ui/game/miscscriptstubs.cpp
005cc3e0	order	Script_Stub_GuildControlGetRankFlags	binding table name Script_Stub_GuildControlGetRankFlags, in definition order in src/ui/game/miscscriptstubs.cpp
005ccc90	order	Script_Stub_GuildControlGetRankName	binding table name Script_Stub_GuildControlGetRankName, in definition order in src/ui/game/miscscriptstubs.cpp
005cde20	annotated	Script_GetSkillLineInfo	tag in src/ui/game/MiscScript.cpp
005cf220	order	Script_Stub_OfferPetition	binding table name Script_Stub_OfferPetition, in definition order in src/ui/game/miscscriptstubs.cpp
005cff60	string	Script_Stub_GetFactionInfo	score 0.50 shared GetFactionInfo
005d3780	order	Script_Stub_PetCanBeAbandoned	binding table name Script_Stub_PetCanBeAbandoned, in definition order in src/ui/game/miscscriptstubs.cpp
005d54f0	order	Script_Stub_PetDefensiveMode	binding table name Script_Stub_PetDefensiveMode, in definition order in src/ui/game/miscscriptstubs.cpp
005d5580	order	Script_Stub_PetFollow	binding table name Script_Stub_PetFollow, in definition order in src/ui/game/miscscriptstubs.cpp
005d5670	order	Script_Stub_PetRename	binding table name Script_Stub_PetRename, in definition order in src/ui/game/miscscriptstubs.cpp
005d6f60	annotated	Script_ContainerIDToInventoryID	tag in src/ui/game/ContainerFrameScript.cpp
005d7180	override	Script_SetBagPortraitTexture	
005d74a0	annotated	Script_GetContainerNumSlots	tag in src/ui/game/ContainerFrameScript.cpp
005d7590	annotated	Script_GetContainerNumFreeSlots	tag in src/ui/game/ContainerFrameScript.cpp
005d7820	annotated	Script_GetContainerFreeSlots	tag in src/ui/game/ContainerFrameScript.cpp
005d7a90	annotated	Script_GetContainerItemInfo	tag in src/ui/game/ContainerFrameScript.cpp
005d7c80	annotated	Script_GetContainerItemLink	tag in src/ui/game/ContainerFrameScript.cpp
005d7d00	annotated	Script_GetContainerItemID	tag in src/ui/game/ContainerFrameScript.cpp
005d7ef0	annotated	Script_GetContainerItemDurability	tag in src/ui/game/ContainerFrameScript.cpp
005d8c70	annotated	Script_GetBagName	tag in src/ui/game/ContainerFrameScript.cpp
005da3a0	string	Script_Stub_CloseTradeSkill	score 0.50 shared CloseTradeSkill
005df8a0	order	Script_Stub_ProcessQuestLogRewardFactions	binding table name Script_Stub_ProcessQuestLogRewardFactions, in definition order in src/ui/game/miscscriptstubs.cpp
005dfd20	string	Script_Stub_GetQuestLogTitle	score 0.50 shared GetQuestLogTitle
005e4ed0	order	Script_Stub_QuestLogPushQuest	binding table name Script_Stub_QuestLogPushQuest, in definition order in src/ui/game/miscscriptstubs.cpp
