# program=RunicWorldGame.exe functions=27733 matched=408
FUN_0097 | FUN_009748f0 @ 009748f0 size=201
FUN_0097 | FUN_009749c0 @ 009749c0 size=32
FUN_0097 | FUN_009749e0 @ 009749e0 size=37
FUN_0097 | FUN_00974a10 @ 00974a10 size=93
FUN_0097 | FUN_00974a70 @ 00974a70 size=93
FUN_0097 | FUN_00974ad0 @ 00974ad0 size=93
FUN_0097 | FUN_00974b30 @ 00974b30 size=93
FUN_0097 | FUN_00974b90 @ 00974b90 size=93
FUN_0097 | FUN_00974bf0 @ 00974bf0 size=93
FUN_0097 | FUN_00974c50 @ 00974c50 size=93
FUN_0097 | FUN_00974cb0 @ 00974cb0 size=93
FUN_0097 | FUN_00974d10 @ 00974d10 size=93
FUN_0097 | FUN_00974d70 @ 00974d70 size=93
FUN_0097 | FUN_00974dd0 @ 00974dd0 size=93
FUN_0097 | FUN_00974e30 @ 00974e30 size=93
FUN_0097 | FUN_00974e90 @ 00974e90 size=93
FUN_0097 | FUN_00974ef0 @ 00974ef0 size=93
FUN_0097 | FUN_00974f50 @ 00974f50 size=93
FUN_0097 | FUN_00974fb0 @ 00974fb0 size=93
FUN_0097 | FUN_00975010 @ 00975010 size=93
FUN_0097 | FUN_00975070 @ 00975070 size=93
FUN_0097 | FUN_009750d0 @ 009750d0 size=75
FUN_0097 | FUN_00975120 @ 00975120 size=124
FUN_0097 | FUN_009751a0 @ 009751a0 size=64
FUN_0097 | FUN_009751e0 @ 009751e0 size=88
FUN_0097 | FUN_00975240 @ 00975240 size=94
FUN_0097 | FUN_009752a0 @ 009752a0 size=25
FUN_0097 | FUN_009752c0 @ 009752c0 size=32
FUN_0097 | FUN_009752e0 @ 009752e0 size=37
FUN_0097 | FUN_00975310 @ 00975310 size=83
FUN_0097 | FUN_00975370 @ 00975370 size=83
FUN_0097 | FUN_009753d0 @ 009753d0 size=83
FUN_0097 | FUN_00975430 @ 00975430 size=83
FUN_0097 | FUN_00975490 @ 00975490 size=83
FUN_0097 | FUN_009754f0 @ 009754f0 size=83
FUN_0097 | FUN_00975550 @ 00975550 size=83
FUN_0097 | FUN_009755b0 @ 009755b0 size=83
FUN_0097 | FUN_00975610 @ 00975610 size=83
FUN_0097 | FUN_00975670 @ 00975670 size=83
FUN_0097 | FUN_009756d0 @ 009756d0 size=83
FUN_0097 | FUN_00975730 @ 00975730 size=83
FUN_0097 | FUN_00975790 @ 00975790 size=83
FUN_0097 | FUN_009757f0 @ 009757f0 size=83
FUN_0097 | FUN_00975850 @ 00975850 size=83
FUN_0097 | FUN_009758b0 @ 009758b0 size=83
FUN_0097 | FUN_00975910 @ 00975910 size=83
FUN_0097 | FUN_00975970 @ 00975970 size=83
FUN_0097 | FUN_009759d0 @ 009759d0 size=70
FUN_0097 | FUN_00975a20 @ 00975a20 size=94
FUN_0097 | FUN_00975a80 @ 00975a80 size=70
FUN_0097 | FUN_00975ad0 @ 00975ad0 size=94
FUN_0097 | FUN_00975b30 @ 00975b30 size=70
FUN_0097 | FUN_00975b80 @ 00975b80 size=94
FUN_0097 | FUN_00975be0 @ 00975be0 size=70
FUN_0097 | FUN_00975c30 @ 00975c30 size=94
FUN_0097 | FUN_00975c90 @ 00975c90 size=70
FUN_0097 | FUN_00975ce0 @ 00975ce0 size=94
FUN_0097 | FUN_00975d40 @ 00975d40 size=120
FUN_0097 | FUN_00975dc0 @ 00975dc0 size=67
FUN_0097 | FUN_00975e10 @ 00975e10 size=97
FUN_0097 | FUN_00975e80 @ 00975e80 size=130
FUN_0097 | FUN_00975f10 @ 00975f10 size=101
FUN_0097 | FUN_00975f80 @ 00975f80 size=130
FUN_0097 | FUN_00976010 @ 00976010 size=112
FUN_0097 | FUN_00976080 @ 00976080 size=136
FUN_0097 | FUN_00976110 @ 00976110 size=129
FUN_0097 | FUN_009761a0 @ 009761a0 size=55
FUN_0097 | FUN_009761e0 @ 009761e0 size=328
FUN_0097 | FUN_00976330 @ 00976330 size=220
FUN_0097 | FUN_00976410 @ 00976410 size=54
FUN_0097 | FUN_00976450 @ 00976450 size=56
FUN_0097 | FUN_00976490 @ 00976490 size=69
FUN_0097 | FUN_009764e0 @ 009764e0 size=147
FUN_0097 | FUN_00976580 @ 00976580 size=79
